Epoch: [0][ 0/69] Time 22.410 (22.410) Data  7.584 ( 7.584) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0956e+01 (2.0956e+01) Inst_Loss_A 1.9246e+01 (1.9246e+01) Inst_Loss_B 2.2665e+01 (2.2665e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [4][ 0/69] Time  8.809 ( 8.809) Data  8.420 ( 8.420) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9816e+01 (1.9816e+01) Inst_Loss_A 1.9328e+01 (1.9328e+01) Inst_Loss_B 2.0304e+01 (2.0304e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [4][10/69] Time  0.312 ( 1.135) Data  0.000 ( 0.766) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0282e+01 (2.0077e+01) Inst_Loss_A 1.9458e+01 (1.9475e+01) Inst_Loss_B 2.1105e+01 (2.0679e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [4][20/69] Time  0.370 ( 0.747) Data  0.000 ( 0.401) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0246e+01 (2.0095e+01) Inst_Loss_A 1.9351e+01 (1.9427e+01) Inst_Loss_B 2.1141e+01 (2.0763e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [4][30/69] Time  0.326 ( 0.609) Data  0.000 ( 0.272) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9923e+01 (2.0068e+01) Inst_Loss_A 1.9124e+01 (1.9353e+01) Inst_Loss_B 2.0721e+01 (2.0783e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [4][40/69] Time  0.314 ( 0.537) Data  0.000 ( 0.206) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0296e+01 (2.0098e+01) Inst_Loss_A 2.0060e+01 (1.9386e+01) Inst_Loss_B 2.0531e+01 (2.0811e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [4][50/69] Time  0.318 ( 0.494) Data  0.000 ( 0.165) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9748e+01 (2.0099e+01) Inst_Loss_A 1.8804e+01 (1.9357e+01) Inst_Loss_B 2.0692e+01 (2.0840e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [4][60/69] Time  0.309 ( 0.464) Data  0.000 ( 0.138) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0065e+01 (2.0102e+01) Inst_Loss_A 1.8715e+01 (1.9368e+01) Inst_Loss_B 2.1414e+01 (2.0837e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [5][ 0/69] Time  8.633 ( 8.633) Data  8.164 ( 8.164) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9883e+01 (1.9883e+01) Inst_Loss_A 1.9279e+01 (1.9279e+01) Inst_Loss_B 2.0488e+01 (2.0488e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [5][10/69] Time  0.333 ( 1.128) Data  0.000 ( 0.743) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0042e+01 (2.0169e+01) Inst_Loss_A 1.9185e+01 (1.9423e+01) Inst_Loss_B 2.0900e+01 (2.0915e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [5][20/69] Time  0.318 ( 0.741) Data  0.000 ( 0.389) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9947e+01 (2.0170e+01) Inst_Loss_A 1.9069e+01 (1.9383e+01) Inst_Loss_B 2.0826e+01 (2.0957e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
